English,Tulu
I am happy today,ಇನಿ ಯಾನ್ ಸಂತೋಷೊಡು ಉಲ್ಲೆ
I am tired,ಎಂಕ್ ದಣಿದ್ಂಡ್
I am feeling sick,ಎಂಕ್ ಕಾಯಿಲೆ ಆವೊಂದುಂಡು
I am very excited,ಎಂಕ್ ಮಸ್ತ್ ಉಲ್ಲಾಸ ಉಂಡು
Its boring,ಉಂದು ಬೇಜಾರು ಆಪುಂಡು
Thats funny,ಅವು ತಮಾಷೆ
I am scared,ಯಾನ್ ಭಯೊಡು ಉಲ್ಲೆ
Where are you going,ಈರ್ ಒಲ್ಪ ಪೋವೊಂದುಲ್ಲರ್
I am going to the market,ಎಂಕ್ ಮಾರುಕಟ್ಟೆಗ್ ಪೋಪೆ
Lets go for a walk,ಒಂಜಿ ವಾಕ್ ಗ್ ಪೋವೊಡು
I missed the bus,ಯಾನ್ ಬಸ್ ನ್ ತಪ್ಪಾವೊಂಡೆ
The train is late,ರೈಲ್ ಲೇಟ್ ಆತ್ಂಡ್
I love this weather,ಈ ಹವಾಮಾನ ಎಂಕ್ ಇಷ್ಟ
I want to travel,ಎಂಕ್ ಪ್ರಯಾಣ ಮಲ್ಪೊಡು ಪನ್ಪಿನ ಆಸೆ ಉಂಡು
I will be back soon,ಯಾನ್ ಬೇಗ ಬರ್ಪೆ
What happened,ದಾದ ಆಂಡ್
Is everything okay,ಮಾತ ಸರಿ ಉಂಡಾ
I am getting ready,ಯಾನ್ ತಯಾರ್ ಆವೊಂದುಲ್ಲೆ
I am going to bed,ಯಾನ್ ನಿದ್ರೆಗ್ ಪೋವೊಂದುಲ್ಲೆ
Wake up early,ದುಂಬು ಲಕ್ಕುಲೆ
Dont be late,ತಡ ಆವರೆ ಬಲ್ಲಿ
Wait for me,ಎಂಕ್ ನಿರೀಕ್ಷೆ ಮಲ್ಪುಲೆ
Lets go home,ಇಲ್ಲಗ್ ಪೋವೊಡು
See you tomorrow,ಎಲ್ಲೆ ಪಾರ್ತೆಕ
Come here,ಈಡೆ ಬಲೆ
Go there,ಅಲ್ಪ ಪೋಲೆ
Be quiet,ಮೌನವಾದ್ ಉಪ್ಪುಲೆ
Dont worry,ಚಿಂತೆ ಮಲ್ಪೊಡ್ಚಿ
Iam coming,ಯಾನ್ ಬರ್ಪೆ
Just a minute,ಒಂಜಿ ನಿಮಿಷ ಮಾತ್ರ
I am listening,ಯಾನ್ ಕೇನ್ವೊಂದುಲ್ಲೆ
Can I sit here,ಯಾನ್ ಮುಲ್ಪ ಕುಲ್ಲೊಲಿಯಾ
Its getting dark,ಕತ್ತಲೆ ಆವೊಂದುಂಡು
Lets eat outside,ಪಿದಯಿ ಊಟ ಮಲ್ಪುಗ
I dont understand,ಎಂಕು ಅರ್ಥ ಆಪುಜ್ಜಿ
Speak slowly,ನಿಧಾನವಾದ್ ಪಾತೆರ್ಲೆ
I cant hear you,ಎಂಕ್ ನಿನನ್ ಕೇನ್ರೆ ಆಪುಜಿ
What time is it,ಇತ್ತೆ ಎಂಚ ಸಮಯ
Give me that,ಅವೆನ್ ಎಂಕ್ ಕೊರ್ಲೆ
Come fast,ಬೇಗ ಬಲೆ
Don't shout,ಕಿರುಚೊಡ್ಚಿ
Be careful,ಜಾಗ್ರತೆ ಮಲ್ಪುಲೆ
That’s mine,ಅವು ಎನ್ನವು
This is yours,ಉಂದು ನಿಕ್ಲೆನವು
I will do it,ಯಾನ್ ಮಲ್ಪುವೆ
Let me try,ಎಂಕ್ ಪ್ರಯತ್ನ ಮಲ್ಪೆರೆ ಬುಡ್ಲೆ
Try again,ಪುನರ್ ಪ್ರಯತ್ನ ಮಲ್ಪುಲೆ
One more time,ಒಂಜಿ ಸರ್ತಿ ಬೊಕ್ಕ
Do you remember,ನಿಕ್ಲೆಗ್ ನೆಂಪು ಉಂಡಾ
I forgot,ಎಂಕ್ ಮರೆತ್ಂಡ್
You're right,ಈರ್ ಸರಿ ಪನ್ಪರ್
That’s wrong,ಅವು ತಪ್ಪು
Turn off the TV,ಟಿವಿನ್ ಆಫ್ ಮಲ್ಪುಲೆ
Don't touch that,ಅವೆನ್ ಮುಟ್ಟೊಡ್ಚಿ
Clean the table,ಮೇಜಿನ್ ಸ್ವಚ್ಛ ಮಲ್ಪುಲೆ
It’s very hot,ಉಂದು ಮಸ್ತ್ ಬಿಸಿ ಉಂಡು
It’s very cold,ಮಸ್ತ್ ಚಳಿ ಉಂಡು
I'm feeling sleepy,ಎಂಕ್ ನಿದ್ರೆ ಬರ್ಪುಂಡು
Let’s take a break,ಒಂಜಿ ವಿರಾಮ ದೆತೊನುಗ
I'll call you later,ಯಾನ್ ನಿಕುಲೆಗ್ ನನೊಂಜಿ ಸರ್ತಿ ಕಾಲ್ ಮಲ್ಪುವೆ
Don’t lie,ಸುಳ್ಳು ಪಾತೆರೊಡ್ಚಿ
Let's go to mangalore,ನಮ ಕುಡ್ಲಗ್ ಪೊಯಿ
I know mangalore well,ಯೆಂಕ್ ಕುಡ್ಲ ಎಡ್ಡೆ ಗೊತ್ತುಂಡು
What’s your name,ಈರೆನ ಪುದರ್ ದಾದ
I’m from India,ಯಾನ್ ಭಾರತೊಡ್ದ್ ಬತ್ತಿನಾಯೆ
Can you help me,ಈರ್ ಎಂಕ್ ಸಹಾಯ ಮಲ್ಪೊಲಿಯಾ
Please close the door,ದಯಮಲ್ತ್ ಬಾಕಿಲ್ ಮುಚ್ಚುಲೆ
Can you come with me,ಈರ್ ಎನ್ನೊಟ್ಟುಗು ಬರೊಲಿಯಾ
Stand up,ಲಕ್ಕುಲೆ
What’s the homework,ಮನೆಕೆಲಸ ದಾದ
The teacher is coming,ಗುರು ಬರೊಂದುಲ್ಲೆರ್
I'm late for class,ಎಂಕ್ ಕ್ಲಾಸ್ ಗ್ ತಡ ಆಂಡ್
I need help with this topic,ಈ ವಿಷಯೊಡು ಎಂಕ್ ಸಹಾಯ ಬೋಡು
I got full marks,ಎಂಕ್ ಪೂರ್ತಿ ಮಾರ್ಕ್ಸ್ ಬತ್ತ್ಂಡ್
The class was interesting,ಕ್ಲಾಸ್ ಮಸ್ತ್ ಕುತೂಹಲಕಾರಿ ಆದಿತ್ತ್ಂಡ್
"Hello, How are you",ನಮಸ್ಕಾರ ಎಂಚ ಉಲ್ಲರ್
Had your lunch,ವನಸ್ ಆಂಡಾ
Where are you working,ಈರ್ ಒಲು ಬೇಲೆ ಮಲ್ತ್ತೊಂದುಲ್ಲರ್
All are welcome,ಮಾತೆರ್ಗ್ಲಾ ಸ್ವಾಗತಾ
What are you doing,ಈರ್ ದಾದಾ ಮಾಲ್ತೊಂದುಲ್ಲರ್
come,ಬಲ
How were the rains this year,ಈ ಸರ್ತಿ ಬರ್ಸಾ ಯೆಂಚ ಇತ್ತ್ಂಡ್
When did you come,ಈರ್ ಯೇಪ ಬತ್ತಿನಿ
I am fine,ಯಾನ್ ಉಷರ್ ಉಲ್ಲೆ
Will this bus go to Udupi,ಈ ಬಸ್ ಉಡುಪಿಗ್ ಪೋಪುಂಡ
Where is this address located,ಈ ವಿಳಾಸ ಓಲು ಬರ್ಪುಂಡು
"Ok, see you next time","ಆವು, ಬೊಕ್ಕ ತಿಕ್ಕಗ"
I will come,ಯಾನ್ ಬರ್ಪೆ
Please close the door,ದಯಮಲ್ತ್ ಬಾಕಿಲ್ ಮುಚ್ಚಲೆ
It was a lot of help,ಉಂದು ಮಸ್ತ್ ಸಹಾಯ ಆಂಡ್
How it happened,ಎಂಚಾ ಆಂಡ್
I am happy to see you,ಈರೆನ್ ತೂದ್ ಭಾರಿ ಖುಷಿ ಆಂಡ್
Then what is the special,ಬೊಕ್ಕ ದಾದಾ ವಿಶೇಷಾ
Then,ಅದಗ
special,ವಿಶೇಷ
Nothing else,ಬೇತೆ ದಾಲ ಇಜ್ಜಿ
Please wait for a moment,ದಯಮಲ್ತ್ ಒಂಜಿ ಕ್ಷಣ ನಿಲೆ
All are welcome,ಮಾತೆರೆಗ್ಲಾ ಸ್ವಾಗತ
We will go to Mangalore,ನಮ ಕುಡ್ಲಗ್ ಪೋಪ
In a restaurant,ಒಂಜಿ ರೆಸ್ಟೋರೆಂಟ್ ಡ್
Will that take some time,ಅಯಿಕ್ ಒಂತೆ ಸಮಯ ಬೋಡಾ
Give me one masala dosa,ಒಂಜಿ ಮಸಾಲೆ ದೋಸೆ ಕೊರ್ಲೆ
I don't want that,ಎಂಕ್ ಅವು ಬೋಡಾಪುಜಿ
Give some water,ಒಂತೆ ನೀರ್ ಕೊರ್ಲೆ
You have given a good service,ಈರ್ ಎಡ್ಡೆ ಸೇವೆ ಕೊರ್ತರ್
The price is too high,ಬೆಲೆ ಮಸ್ತ್ ಎಚ್ಚ ಉಂಡು
Show me the new designs,ಪೊಸ ಡಿಸೈನ್ ಲೆನ್ ತೋಜಾಲೆ
I will pay by cash,ಯಾನ್ ನಗದುಡ್ ಕೊರ್ಪೆ
Please pack all the goods,ಮಾತ ಸರಕುಲೆನ್ ಪ್ಯಾಕ್ ಮಲ್ಪುಲೆ
What is the time now,ಇತ್ತೆ ಪೊರ್ತು ಎಂಚ ಉಂಡು
Good work,ಎಡ್ಡೆ ಬೇಲೆ
What did you have for tiffin today,ಇನಿ ಟಿಫಿನ್ ಗ್ ದಾದ ಮಲ್ತರ್
Anything else,ಬೇತೆ ದಾದನಾ
How was the coffee,ಕಾಫಿ ಎಂಚ ಉಂಡು
Coffee was good,ಕಾಫಿ ಎಡ್ಡೆ ಇತ್ತ್ಂಡ್
Where did you go on weekend,ಈರ್ ವಾರಾಂತ್ಯೊಡು ಎಲ್ಲಿ ಪೋಯರ್
This time i had gone to Bangalore,ಈ ಸರ್ತಿ ಯಾನ್ ಬೆಂಗಳೂರುಗು ಪೋಯಿನ
How was your weekend,ನಿಕ್ಲೆನ ವಾರಾಂತ್ಯ ಎಂಚ ಉಂಡು
It was super,ಉಂದು ಸೂಪರ್ ಆದಿತ್ತ್ಂಡ್
I came yesterday,ಯಾನ್ ನಿನ್ನೆ ಬತ್ತೆ
Can you wait for me,ಈರ್ ಎಂಕ್ ಕಾತೊಂದು ಉಪ್ಪೊಲಿ
Okay i will wait,ಸರಿ ಯಾನ್ ನಿರೀಕ್ಷೆ ಮಲ್ಪುವೆ
Can we meet today,ಇನಿ ನಮ ತೂವೊಲಿ
"Hello, How are you",ಹಲೋ ಎಂಚ ಉಲ್ಲರ್
stop,ಉಂತವು
scratch,ಕೆರೆಪ್ಪು
give,ಕೊರ್
Take,ದೆತೊನಿ
eat,ತಿನ್
get up,ಲಕ್ಕ್
get,ದೆತೊನ್ಲೆ
watch,ತೂಲ
look,ರೂಪ
wait,ಕಾಪು
above,ಮಿತ್ತು
important,ಮುಖ್ಯ
verb,ಕ್ರಿಯಾಪದ
might,ಆದಿಪ್ಪು
perceived,ಗ್ರಹಿಸಾಯಿನ
disrespect,ಅಗೌರವ
talking,ಪಾತೆರುನ
first,ಸುರುತ
realize,ನಿಜ ಸಂಗತಿ ಗೊತ್ತಾಪಿನಿ
place,ಜಾಗೆ
better,ಎಡ್ಡೆ
You run in the marathon,ಈರ್ ಮ್ಯಾರಥಾನ್ ಡ್ ಓಡುವೆರ್
You sit in this chair,ಈರ್ ಈ ಕುರ್ಚಿಡ್ ಕುಲ್ಲುಲೆ
Is it so,ಅಂಚ ಉಂಡಾ
Can you come there,ಈರ್ ಅಲ್ಪ ಬರೊಲಿಯಾ
Didn't you know,ನಿಕ್ಲೆಗ್ ಗೊತ್ತುಜ್ಜಿ
Glad to meet you,ನಿಕುಲೆನ್ ತೂಯೆರೆ ಸಂತೋಷ ಆಂಡ್
What to do now,ಇತ್ತೆ ದಾದ ಮಲ್ಪೊಡು
See you next time,ದುಂಬುದ ಸರ್ತಿ ತೂವೊಲಿ
Let us have a tea,ನಮ ಒಂಜಿ ಚಾ ಪರ್ಲೆ
Can you bring a cup of water,ಒಂಜಿ ಕಪ್ ನೀರ್ ಲೆತೊಂದು ಬರೊಲಿಯಾ
I will also come with you,ಯಾನ್ ಲಾ ನಿನ್ನೊಟ್ಟುಗು ಬರ್ಪೆ
Whom should I ask,ಯಾನ್ ಏರೆನ್ ಕೇನೊಡು
Which is your favourite color,ನಿಕ್ಲೆಗ್ ಇಷ್ಟ ಆಯಿನ ಬಣ್ಣ ದಾದ
Whats the time now,ಇತ್ತೆ ದಾದ ಪೊರ್ತು
You should definitely come to our house during the festival,ಪರ್ಬೊದ ಪೊರ್ತುಡು ಈರ್ ಖಂಡಿತ ನಮ್ಮ ಇಲ್ಲಗ್ ಬರೊಡು
I have to wake up early in the morning tomorrow,ಎಂಕ್ ನಾಳೆ ಬೆಳಗ್ಗೆ ಬೇಗ ಲಕ್ಕುದುಪ್ಪೊಡು
I have some other work today,ಇನಿ ಎಂಕ್ ಬೇತೆ ಕೆಲವು ಬೇಲೆ ಉಂಡು
Where are you man,ಈರ್ ಎಲ್ಲಿ ಉಲ್ಲರ್ ಮನುಷ್ಯೆ
I am waiting for you near Town hall,ಯಾನ್ ನಿಕುಲೆನ್ ಟೌನ್ ಹಾಲ್ ದ ಎದುರುಡು ಕಾತೊಂದುಲ್ಲೆ
Ice-cream at Ideal's is too good,ಐಡಿಯಲ್ಸ್ ಡ್ ಐಸ್-ಕ್ರೀಮ್ ಮಸ್ತ್ ಎಡ್ಡೆ ಉಂಡು
Today's treat is mine,ಇನಿತ ಟ್ರೀಟ್ ಎಂಕ್ಲೆನವು
I will meet you in the evening,ಯಾನ್ ನಿನನ್ ಸಾಯಂಕಾಲೊಗು ತೂಪೆ
Thank you all,ಮಾತೆರೆಗ್ಲಾ ಸೊಲ್ಮೆಲು
How much does this cost,ನೆಕ್ ಯೆತ್ ಬೆಲೆ
What do you need,ಈರೆಗ್ ದಾದಾ ಬೋಡು
Which day is it today,ಇನಿ ವ ದಿನಾ
Day after tomorrow,ಎಲ್ಲಂಜಿ
He knows Tulu,ಅರೆಗ್ ತುಳು ಗೊತ್ತುಂಡು
She knows Tulu,ಆಲೆಗ್ ತುಳು ಗೊತ್ತುಂಡು
He is a good man,ಆರ್ ಒರಿ ಎಡ್ಡೆ ಮನುಷ್ಯೆ
Are you married,ಈರೆಗ್ ಮದಿಮೆ ಆತ್‌ಡ
Come in be seated,ಕುಲ್ಲುಲೆ ಒಳಗ್ ಬಲೆ
Where is the bathroom,ಸ್ನಾನದ ಕೋಣೆ ಓಲು ಉಂಡು
Excuse Me,ಎಂಕ್ ಕ್ಷಮಿಸಲೆ
He was at home,ಆರ್ ಇಲ್ಲಡ್ ಇತ್ತೆರ್
You ate a mango,ಈರ್ ಒಂಜಿ ಮಾಂಗೋ ದೆತೊಂದುಲ್ಲರ್
We build a new house,ನಮ ಒಂಜಿ ಪೊಸ ಇಲ್ಲ್ ಕಟ್ಟುವ
The sun has set,ಸೂರ್ಯೆ ಅಸ್ತಮಯ ಆತ್ಂಡ್
He became a Doctor,ಆರ್ ಒರಿ ಡಾಕ್ಟರ್ ಆಯೆರ್
He felt bad,ಆಯಗ್ ಕೆಟ್ಟ ಅನುಭವ ಆಂಡ್
I had work yesterday,ಎಂಕ್ ನಿನ್ನೆ ಬೇಲೆ ಇತ್ತ್ಂಡ್
You may go now,ಈರ್ ಇತ್ತೆ ಪೋವೊಲಿ
He cant walk,ಆರ್ ನಡಪೆರೆ ಸಾಧ್ಯ ಇಜ್ಜಿ
If he comes tell me,ಆರ್ ಬತ್ತ್ಂಡ ಎಂಕ್ ಪನ್ಲೆ
If it rains I will get wet,ಬರ್ಸಾ ಬರ್ಪುಂಡ ಯಾನ್ ಚಂಡಿ ಆಪುವೆ
If anyone comes call me,ಎರ್ಲಾ ಬತ್ತ್ಂಡ ಏನನ್ ಲೆಪ್ಪು
Was she reading,ಅಲ್ ಓದುದು ಇತ್ತೆರ್
Wasnt he playing,ಆರ್ ಆಟ ಆಡೊಂದಿಜ್ಜೆರ್
Werent they coming,ಅಕುಲು ಬರ್ಪುಜೆರ್
Were you waiting for me,ಈರ್ ಎಂಕ್ ಕಾತೊಂದು ಇತ್ತೆರ್
They were not speaking with me,ಅಕುಲು ಎನ್ನೊಟ್ಟುಗು ಪಾತೆರೊಂದಿಜ್ಜೆರ್
If you told me I would go,ಈರ್ ಎಂಕ್ ಪೋಪೆ ಪಂಡೆರ್
If you were here it would be nice,ಈರ್ ಇಲ್ಲಡೆ ಇತ್ತ್ಂಡ ಎಡ್ಡೆ ಆಪುಂಡು
I wish you had told me,ಈರ್ ಎಂಕ್ ಪನ್ಪೆರಾ ಪಂದ್ ಎಂಕ್ ಆಸೆ
Call the police,ಪೊಲೀಸ್ ಲೆಗ್ ಕಾಲ್ ಮಲ್ಪುಲೆ
I want to get down here,ಎಂಕ್ ಇಲ್ಲಗ್ ಬರೊಡಾಪುಂಡು
Please speak slowly,ದಯಮಲ್ತ್ ನಿಧಾನವಾದ್ ಪಾತೆರ್ಲೆ
I love learning new things,ಎಂಕ್ ಪೊಸ ಪೊಸ ವಿಷಯೊಲೆನ್ ತೆರಿಯೊನೆರೆ ಇಷ್ಟ
I wake up at 7am,ಯಾನ್ ಬೆಳಗ್ಗೆ 7 ಗಂಟೆಗ್ ಲಕ್ಕುವೆ
I work out four days a week,ಯಾನ್ ವಾರೊಗು ನಾಲ್ ದಿನ ವರ್ಕ್ ಔಟ್ ಮಲ್ಪುವೆ
I go to college every day,ಯಾನ್ ದಿನೊಲಾ ಕಾಲೇಜಿಗ್ ಪೋಪೆ
Its hot out today,ಇನಿ ಪಿದಯಿ ಬಿಸಿ ಉಂಡು
Im sick and tired of this weather,ಈ ಹವಾಮಾನೊಡ್ದ್ ಎಂಕ್ ಬೇಜಾರು ಆಂಡ್
I love this weather,ಎಂಕ್ ಈ ಹವಾಮಾನ ಇಷ್ಟ
I don’t think so,ಎಂಕ್ ಅಂಚ ಅನಿಸುಜಿ
Can I get you something to eat,ಯಾನ್ ನಿಕ್ಲೆಗ್ ಒಂಜಿ ತಿನ್ಪಿನ ಒಂಜಿ ವಸ್ತುನು ಕೊರ್ಪೆರಾ
This is my bag,ಉಂದು ಎನ್ನ ಚೀಲ
Sure no problem,ಖಂಡಿತಾ ಸಮಸ್ಯೆ ಇಜ್ಜಿ
Its too big,ಉಂದು ಮಸ್ತ್ ಮಲ್ಲ
Its too small,ಉಂದು ಮಸ್ತ್ ಎಲ್ಯ
Ill think about it,ಯಾನ್ ಅಯಿತ ಬಗ್ಗೆ ಯೋಚನೆ ಮಲ್ಪುವೆ
Thats expensive,ಅವು ದುಬಾರಿ
Thats cheap,ಅವು ಅಗ್ಗ
Please give me a receipt,ದಯಮಲ್ತ್ ಒಂಜಿ ರಸೀದಿ ಕೊರ್ಲೆ
Can I exchange this,ಯಾನ್ ಉಂದೆನ್ ಬದಲಾವಣೆ ಮಲ್ಪೊಲಿ
Is it fresh,ಉಂದು ತಾಜಾ ಉಂಡಾ
Ill take two of these,ಈ ರಡ್ಡ್ ದೆತೊನುವೆ
Please wrap it,ದಯಮಲ್ತ್ ಸುತ್ತುಲೆ
What brand is this,ಉಂದು ದಾದ ಬ್ರಾಂಡ್
This is for a friend,ಉಂದು ಒರಿ ಸ್ನೇಹಿತೆರೆಗ್
Can I try a sample,ಯಾನ್ ಒಂಜಿ ನಮೂನೆನ್ ಪ್ರಯತ್ನ ಮಲ್ಪೊಲಿ
Keep the change,ಬದಲಾವಣೆನ್ ದೀಲೆ
Can I have some water,ಎಂಕ್ ಒಂತೆ ನೀರ್ ಪರ್ರೆ ಸಾಧ್ಯ ಉಂಡಾ
That was perfect,ಅವು ಪರಿಪೂರ್ಣ ಆದಿತ್ತ್ಂಡ್
We need more time,ಎಂಕ್ಲೆಗ್ ಜಾಸ್ತಿ ಸಮಯ ಬೋಡು
Can I have a straw,ಎಂಕ್ ಒಂಜಿ ಸ್ಟ್ರಾ ಉಂಡಾ
Thank you for the service,ಸೇವೆಗ್ ಧನ್ಯವಾದೊಲು
No smoking please,ದಯಮಲ್ತ್ ಧೂಮಪಾನ ಮಲ್ಪುಜೆರ್
Can we sit outside,ನಮ ಪಿದಯಿ ಕುಲ್ಲೊಲಿಯಾ
We will come back later,ನಮ ಪಿರ ಬರ್ಪ
Where is the bus stop,ಬಸ್ ನಿಲ್ದಾಣ ಎಲ್ಲಿ ಉಂಡು
Where is the train station,ರೈಲ್ ನಿಲ್ದಾಣ ಎಲ್ಲಿ ಉಂಡು
Where can I buy tickets,ಯಾನ್ ಟಿಕೆಟ್ ಲೆನ್ ಎಲ್ಲಿ ಕೊಂಡೊಲಿ
Turn left,ಎಡತ್ತ್ ಪೋಲೆ
Turn right,ಬಲತ್ತ ಕಡೆಟ್ ಪೋಲೆ
Go Straight,ನೇರವಾದ್ ಪೋಲೆ
Stop at the corner,ಮೂಲೆಡ್ ನಿಲೆ
pay attention,ಗಮನ ಕೊರ್ಲೆ
read loud,ಜೋರುಡು ಓದುಲೆ
time is up,ಸಮಯ ಮುಗಿಂಡ್
Its break time now,ಇತ್ತೆ ಬ್ರೇಕ್ ಟೈಮ್
Thats intresting,ಉಂದು ಕುತೂಹಲಕಾರಿ
I agree,ಒಪ್ಪುವೆ
I disagree,ಎಂಕ್ ಒಪ್ಪಿಗೆ ಇಜ್ಜಿ
Turn on the computer,ಕಂಪ್ಯೂಟರ್ ನ್ ಆನ್ ಮಲ್ಪುಲೆ
Turn off the laptop,ಲ್ಯಾಪ್ ಟಾಪ್ ನ್ ಆಫ್ ಮಲ್ಪುಲೆ
Open the file,ಫೈಲ್ ನ್ ತೆರೆಲೆ
Close the file,ಫೈಲ್ ನ್ ಮುಚ್ಚುಲೆ
Save the document,ದಾಖಲೆನ್ ಉಳಿತಾಯ ಮಲ್ಪುಲೆ
Send me the mail,ಎಂಕ್ ಮೇಲ್ ಕಡಪುಡುಲೆ
what is your password,ನಿಕ್ಲೆನ ಪಾಸ್ ವರ್ಡ್ ದಾದ
Turn up the volume,ವಾಲ್ಯೂಮ್ ನ್ ಎಚ್ಚ ಮಲ್ಪುಲೆ
Turn down the volume,ವಾಲ್ಯೂಮ್ ನ್ ಕಮ್ಮಿ ಮಲ್ಪುಲೆ
click here,ಮುಲ್ಪ ಕ್ಲಿಕ್ ಮಲ್ಪುಲೆ
call an ambulance,ಆಂಬುಲೆನ್ಸ್ ಗ್ ಲೆಪ್ಪುಲೆ
I need help,ಎಂಕ್ ಸಹಾಯ ಬೋಡು
Stay calm,ಶಾಂತವಾದ್ ಉಪ್ಪುಲೆ
Dont move,ಚಲನೆ ಮಲ್ಪುಜೆರ್
i feel sick,ಎಂಕ್ ಬೇಜಾರು ಆಪುಂಡು
this is urgent,ಉಂದು ತುರ್ತು
wait here,ಮುಲ್ಪ ನಿಲೆ
follow me,ಎನ್ನ ಪಿರವು ಪೋಲೆ
listen to me,ಎಂಕ್ ಕೇನ್ಲೆ
pick it up,ಅವೆನ್ ಎತ್ತುಲೆ
take this,ಉಂದೆನ್ ದೆತೊನ್ಲೆ
put it here,ಉಂದೆನ್ ಮುಲ್ಪ ಪಾಡ್ಲೆ
Show me,ಎಂಕ್ ತೋಜ್ಪಾಲೆ
Welcome home,ಇಲ್ಲಗ್ ಸ್ವಾಗತ
Time for dinner,ಊಟದ ಸಮಯ
Take some rest,ಒಂತೆ ವಿಶ್ರಾಂತಿ ದೆತೊನ್ಲೆ
Go to bed,ನಿದ್ರೆ ಮಲ್ಪುಲೆ
Wake up,ಲಕ್ಕ್
Sweet dreams,ಎಡ್ಡೆಂದಿನ ಕನ ಕಟ್ಟಡ್
Do your homework,ನಿಕ್ಲೆನ ಇಲ್ಲದ ಬೇಲೆ ಮಲ್ಪುಲೆ
Set the table,ಟೇಬಲ್ ನ್ ಸೆಟ್ ಮಲ್ಪುಲೆ
Take a bath,ಸ್ನಾನ ಮಲ್ಪುಲೆ
change your clothes,ನಿನ್ನ ಬಟ್ಟೆಲೆನ್ ಬದಲಾವಣೆ ಮಲ್ಪುಲೆ
clean your room,ನಿನ್ನ ಕೋಣೆನ್ ಸ್ವಚ್ಛ ಮಲ್ಪುಲೆ
sweep the floor,ನೆಲನ್ ಸ್ವೀಪ್ ಮಲ್ಪುಲೆ
wash your hands,ನಿಕ್ಲೆನ ಕೈ ತೊಳೆಯೊಡು
Im not sure,ಎಂಕ್ ಗೊತ್ತುಜ್ಜಿ
Just a moment,ಒಂಜಿ ಕ್ಷಣ ಮಾತ್ರ
One second,ಒಂಜಿ ಸೆಕೆಂಡ್
Are you serious,ಈರ್ ಗಂಭೀರವಾದ್ ಉಲ್ಲರ್
Lets see,ತೂವೊಲಿ
Take it easy,ಸುಲಭೊಡು ದೆತೊನ್ಲೆ
Lets meet again,ಪುನರ್ ಭೇಟಿಯಾವೊಡು
call me later,ನನ ದುಂಬು ಕಾಲ್ ಮಲ್ಪುಲೆ
Life is good,ಜೀವನ ಎಡ್ಡೆ ಉಂಡು .
how is your work,ನಿಕ್ಲೆನ ಬೇಲೆ ಎಂಚ ಉಂಡು
Its going well,ಉಂದು ಎಡ್ಡೆ ಪೋವೊಂದುಂಡು
where you have been,ಈರ್ ಎಲ್ಪ ಇತ್ತೆರ್
I was on vacation,ಯಾನ್ ರಜೆಟ್ ಇತ್ತೆ
how is your family,ನಿಕ್ಲೆನ ಕುಟುಂಬ ಎಂಚ ಉಂಡು
they are fine,ಅಕುಲು ಎಡ್ಡೆ ಉಲ್ಲೆರ್
I am watching TV,ಯಾನ್ ಟಿವಿ ತೂವೊಂದುಲ್ಲೆ
I am cooking,ಯಾನ್ ಅಡುಗೆ ಮಲ್ತೊಂದುಲ್ಲೆ
I am reading book,ಯಾನ್ ಪುಸ್ತಕ ಓದುದುಲ್ಲೆ
I am cleaning,ಯಾನ್ ಸ್ವಚ್ಛ ಮಲ್ತೊಂದುಲ್ಲೆ
I am listening to music,ಯಾನ್ ಸಂಗೀತ ಕೇನ್ವೊಂದುಲ್ಲೆ
I am talking to friend,ಯಾನ್ ಸ್ನೇಹಿತೆನೊಟ್ಟುಗು ಪಾತೆರೊಂದುಲ್ಲೆ
I am shopping online,ಯಾನ್ ಆನ್ ಲೈನ್ ಡ್ ಶಾಪಿಂಗ್ ಮಲ್ತೊಂದುಲ್ಲೆ
I am going out,ಯಾನ್ ಪಿದಯಿ ಪೋವೊಂದುಲ್ಲೆ
I am going to the store,ಯಾನ್ ಅಂಗಡಿಗ್ ಪೋವೊಂದುಲ್ಲೆ
I just got here,ಯಾನ್ ಇಡೆಗ್ ಬತ್ತೆ
I am here,ಯಾನ್ ಉಲ್ಲೆ
I  will be there at 5 minutes,ಯಾನ್ 5 ನಿಮಿಷೊಗು ಅಲ್ಪ ಉಪ್ಪುವೆ
Message me when you are free,ಈರ್ ಫ್ರೀ ಆನಗ ಎಂಕ್ ಮೆಸೇಜ್ ಮಲ್ಪುಲೆ
Are you free now,ಈರ್ ಇತ್ತೆ ಫ್ರೀ ಆದ್ ಉಲ್ಲರ್
I am busy right now,ಇತ್ತೆ ಯಾನ್ ಬಿಜಿ ಉಲ್ಲೆ
Lets take a break,ಒಂಜಿ ವಿರಾಮ ದೆತೊನುಗ
Lets go out for dinner,ಊಟೊಗು ಪಿದಯಿ ಪೋವೊಡು
Lets cancel it,ಅವೆನ್ ರದ್ದು ಮಲ್ಪುಗ
Lets do this tomorrow,ನಾಳೆ ಈ ಕೆಲಸ ಮಲ್ಪುಗ
Lets reschedule it,ಅವೆನ್ ಪುನರ್ನಿಗದಿ ಮಲ್ಪುಗ
I am allergic to dust,ಎಂಕ್ ಧೂಳುಗು ಅಲರ್ಜಿ ಉಂಡು
I am on diet,ಯಾನ್ ಡಯಟ್ ಡ್ ಉಲ್ಲೆ
Dont skip meals,ಊಟೊನು ಬುಡ್ಪಾವೊಂದಿಜ್ಜಿ
